query	target	pident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bitscore	query_len	query_class	target_len	target_class	RBP-class-pair	qcov	tcov	cov	modular	is_cterm_sim
CONT_004_KL17_PROTEIN_45	LIT_083_KL36KL43_PROTEIN_42	63.333	30	11	0	2	31	1	30	9.61e-07	46.2	521	putative esterase containing tailspike	612	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_004_KL17_PROTEIN_46	REC_044_KN4_PROTEIN_47	79.87	154	31	0	1	154	1	154	3.4e-73	251.0	818	tailspike depolymerase	850	tailspike depolymerase	Same	0.19	0.18	0.18	Nterminal sharing	
CONT_004_KL17_PROTEIN_46	LIT_090_KL27_PROTEIN_48	72.289	166	45	1	1	165	1	166	5.47e-65	231.0	818	tailspike depolymerase	1242	tailspike depolymerase with fiber-like elements	Different	0.2	0.13	0.13	Nterminal sharing	
CONT_004_KL17_PROTEIN_46	REC_042_KN1_PROTEIN_43	69.481	154	47	0	1	154	1	154	7.84e-60	213.0	818	tailspike depolymerase	820	tailspike depolymerase with fiber-like elements	Different	0.19	0.19	0.19	Nterminal sharing	
CONT_004_KL17_PROTEIN_46	REC_041_KN1_PROTEIN_43	68.831	154	48	0	1	154	1	154	1.9800000000000001e-59	211.0	818	tailspike depolymerase	819	tailspike depolymerase with fiber-like elements	Different	0.19	0.19	0.19	Nterminal sharing	
CONT_004_KL17_PROTEIN_46	LIT_078_KL30KL35KL36_PROTEIN_48	68.142	113	34	2	1	111	1	113	1.01e-40	155.0	818	tailspike depolymerase	856	tailspike depolymerase with fiber-like elements	Different	0.14	0.13	0.13	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	REC_023_KL47_PROTEIN_43	81.818	33	6	0	1	33	1	33	1.56e-10	58.2	511	GDSL-like lipase containing tailspike	641	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	REC_025_KL47_PROTEIN_45	81.818	33	6	0	1	33	1	33	1.62e-10	58.2	511	GDSL-like lipase containing tailspike	641	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	REC_024_KL47_PROTEIN_44	81.818	33	6	0	1	33	1	33	1.62e-10	58.2	511	GDSL-like lipase containing tailspike	641	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_041_KL1KL2KL57_PROTEIN_46	72.973	37	10	0	1	37	1	37	2.11e-10	57.8	511	GDSL-like lipase containing tailspike	560	tailspike depolymerase	Different	0.07	0.07	0.07	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_036_KL106_PROTEIN_45	58.0	50	19	1	1	50	1	48	1.43e-09	55.1	511	GDSL-like lipase containing tailspike	536	tailspike depolymerase	Different	0.1	0.09	0.09	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_082_KL26KL74_PROTEIN_50	73.529	34	9	0	1	34	1	34	1.89e-09	54.7	511	GDSL-like lipase containing tailspike	595	tailspike depolymerase	Different	0.07	0.06	0.06	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_037_KL106_PROTEIN_43	56.0	50	20	1	1	50	1	48	2.95e-09	53.9	511	GDSL-like lipase containing tailspike	536	tailspike depolymerase	Different	0.1	0.09	0.09	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_128_KL10_PROTEIN_50	72.727	33	9	0	1	33	1	33	5.55e-09	53.1	511	GDSL-like lipase containing tailspike	512	tailspike depolymerase	Different	0.06	0.06	0.06	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_081_KL58_PROTEIN_48	61.765	34	13	0	1	34	1	34	5.01e-08	50.1	511	GDSL-like lipase containing tailspike	598	tailspike depolymerase	Different	0.07	0.06	0.06	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_015_KL61_PROTEIN_45	67.647	34	11	0	1	34	1	34	8.89e-08	49.3	511	GDSL-like lipase containing tailspike	546	tailspike depolymerase	Different	0.07	0.06	0.06	Nterminal sharing	
CONT_005_KL20_PROTEIN_6	LIT_016_KL61_PROTEIN_42	65.625	32	11	0	3	34	4	35	3e-06	44.3	511	GDSL-like lipase containing tailspike	547	tailspike depolymerase	Different	0.06	0.06	0.06	Nterminal sharing	
CONT_005_KL20_PROTEIN_7	REC_044_KN4_PROTEIN_47	79.87	154	31	0	1	154	1	154	1.77e-72	251.0	903	tailspike depolymerase	850	tailspike depolymerase	Same	0.17	0.18	0.17	Nterminal sharing	
CONT_005_KL20_PROTEIN_7	LIT_090_KL27_PROTEIN_48	70.115	174	50	2	1	172	1	174	5.37e-65	233.0	903	tailspike depolymerase	1242	tailspike depolymerase with fiber-like elements	Different	0.19	0.14	0.14	Nterminal sharing	
CONT_005_KL20_PROTEIN_7	REC_042_KN1_PROTEIN_43	69.481	154	47	0	1	154	1	154	1.25e-59	213.0	903	tailspike depolymerase	820	tailspike depolymerase with fiber-like elements	Different	0.17	0.19	0.17	Nterminal sharing	
CONT_005_KL20_PROTEIN_7	REC_041_KN1_PROTEIN_43	68.831	154	48	0	1	154	1	154	3.6e-59	212.0	903	tailspike depolymerase	819	tailspike depolymerase with fiber-like elements	Different	0.17	0.19	0.17	Nterminal sharing	
CONT_005_KL20_PROTEIN_7	LIT_078_KL30KL35KL36_PROTEIN_48	67.257	113	35	2	1	111	1	113	1.16e-40	156.0	903	tailspike depolymerase	856	tailspike depolymerase with fiber-like elements	Different	0.13	0.13	0.13	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_109_KL2_PROTEIN_23	98.98	196	2	0	1	196	1	196	7.43e-122	381.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_006_KL13KL2_PROTEIN_63	98.98	196	2	0	1	196	1	196	7.830000000000001e-122	381.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_012_KL2_PROTEIN_32	98.98	196	2	0	1	196	1	196	9.07e-122	380.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_011_KL2_PROTEIN_22	98.98	196	2	0	1	196	1	196	1.5e-121	380.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_111_KL2_PROTEIN_23	97.449	196	5	0	1	196	1	196	1.43e-119	375.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_014_KL2_PROTEIN_2	96.939	196	6	0	1	196	1	196	7.76e-119	373.0	708	tailspike depolymerase	907	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_017_KL140_PROTEIN_44	90.452	199	19	0	1	199	1	199	1.48e-102	327.0	708	tailspike depolymerase	793	tailspike depolymerase	Same	0.28	0.25	0.25	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_113_KL46_PROTEIN_23	87.019	208	27	0	1	208	1	208	4.1e-99	321.0	708	tailspike depolymerase	927	tailspike depolymerase with fiber-like elements	Different	0.29	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_130_KL17_PROTEIN_23	86.935	199	19	1	1	199	1	192	5.04e-96	308.0	708	tailspike depolymerase	729	tailspike depolymerase	Same	0.28	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_110_KL6KL7_PROTEIN_23	85.5	200	22	1	1	200	1	193	1.35e-94	307.0	708	tailspike depolymerase	870	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_034_KL62_PROTEIN_30	81.395	215	23	2	1	215	1	198	3.25e-92	297.0	708	tailspike depolymerase	692	tailspike depolymerase	Same	0.3	0.31	0.3	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_114_KL54_PROTEIN_23	79.63	216	31	2	1	210	1	209	6.69e-92	297.0	708	tailspike depolymerase	729	tailspike depolymerase	Same	0.31	0.3	0.3	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_036_KL63_PROTEIN_49	87.245	196	18	1	1	196	1	189	1.22e-91	300.0	708	tailspike depolymerase	883	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_105_KL63_PROTEIN_22	87.245	196	18	1	1	196	1	189	1.27e-91	300.0	708	tailspike depolymerase	883	tailspike depolymerase	Same	0.28	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_106_KL38_PROTEIN_24	85.354	198	22	1	1	198	1	191	7.83e-91	302.0	708	tailspike depolymerase	1171	tailspike depolymerase with fiber-like elements	Different	0.28	0.17	0.17	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_118_KL14_PROTEIN_25	81.863	204	30	1	1	204	1	197	9.829999999999999e-89	293.0	708	tailspike depolymerase	941	tailspike depolymerase	Same	0.29	0.22	0.22	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_018_KL28_PROTEIN_7	85.714	196	21	1	1	196	1	189	4.61e-88	287.0	708	tailspike depolymerase	742	tailspike depolymerase	Same	0.28	0.26	0.26	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_035_KL24_PROTEIN_2	82.143	196	28	1	1	196	1	189	5.13e-86	282.0	708	tailspike depolymerase	762	tailspike depolymerase	Same	0.28	0.26	0.26	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_027_KL5_PROTEIN_35	79.5	200	34	1	1	200	1	193	1.66e-85	283.0	708	tailspike depolymerase	857	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_115_Kn_PROTEIN_25	79.57	186	24	1	1	172	1	186	1.8799999999999998e-82	276.0	708	tailspike depolymerase	973	L-shaped tail fiber-like	Different	0.26	0.19	0.19	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_117_Kn_PROTEIN_25	68.88	241	68	3	1	235	1	240	2.79e-82	275.0	708	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.34	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_120_KL28KL69_PROTEIN_24	78.495	186	26	1	1	172	1	186	1.21e-81	274.0	708	tailspike depolymerase	973	L-shaped tail fiber-like	Different	0.26	0.19	0.19	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_119_Kn_PROTEIN_25	82.065	184	33	0	1	184	1	184	6.969999999999999e-81	271.0	708	tailspike depolymerase	894	L-shaped tail fiber-like	Different	0.26	0.21	0.21	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_112_KL53_PROTEIN_24	72.449	196	54	0	1	196	1	196	2.08e-79	266.0	708	tailspike depolymerase	852	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_103_KL28KL69_PROTEIN_24	80.978	184	35	0	1	184	1	184	3.89e-77	260.0	708	tailspike depolymerase	894	L-shaped tail fiber-like	Different	0.26	0.21	0.21	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_116_KL31KL37_PROTEIN_25	63.9	241	80	3	1	235	1	240	1.18e-74	253.0	708	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.34	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_108_KL11KL28KL33_PROTEIN_25	63.9	241	80	3	1	235	1	240	1.18e-74	253.0	708	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.34	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	REC_013_KL2_PROTEIN_22	66.176	204	62	1	1	197	1	204	6.36e-72	244.0	708	tailspike depolymerase	763	tailspike depolymerase	Same	0.29	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_104_KL2_PROTEIN_24	66.176	204	62	1	1	197	1	204	6.49e-72	244.0	708	tailspike depolymerase	763	tailspike depolymerase	Same	0.29	0.27	0.27	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_010_KL53_PROTEIN_22	66.327	196	59	1	1	196	1	189	2.6e-71	243.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_012_KL53_PROTEIN_48	66.327	196	59	1	1	196	1	189	2.67e-71	243.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_011_KL53_PROTEIN_67	66.327	196	59	1	1	196	1	189	2.67e-71	243.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_009_KL53_PROTEIN_3	66.327	196	59	1	1	196	1	189	2.67e-71	243.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_008_KL53_PROTEIN_3	66.327	196	59	1	1	196	1	189	2.67e-71	243.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_015_KL53_PROTEIN_6	65.816	196	60	1	1	196	1	189	8.85e-71	242.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	CONT_013_KL53_PROTEIN_1	65.306	196	61	1	1	196	1	189	6.94e-70	239.0	708	tailspike depolymerase	845	tailspike depolymerase	Same	0.28	0.23	0.23	Nterminal sharing	
CONT_006_KL22_PROTEIN_8	LIT_123_KL43KL50KL69_PROTEIN_28	58.382	173	72	0	1	173	1	173	4.6e-57	205.0	708	tailspike depolymerase	1314	L-shaped tail fiber-like	Different	0.24	0.13	0.13	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_130_KL17_PROTEIN_23	68.557	194	61	0	1	194	1	194	5.4900000000000005e-77	260.0	845	tailspike depolymerase	729	tailspike depolymerase	Same	0.23	0.27	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_011_KL2_PROTEIN_22	68.78	205	51	2	1	195	1	202	9.19e-76	260.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.24	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_109_KL2_PROTEIN_23	65.566	212	46	2	1	195	1	202	1.08e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_006_KL13KL2_PROTEIN_63	65.566	212	46	2	1	195	1	202	1.2400000000000001e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_012_KL2_PROTEIN_32	65.566	212	46	2	1	195	1	202	1.3500000000000001e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_114_KL54_PROTEIN_23	68.528	197	62	0	1	197	1	197	1.01e-74	254.0	845	tailspike depolymerase	729	tailspike depolymerase	Same	0.23	0.27	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_111_KL2_PROTEIN_23	65.094	212	47	2	1	195	1	202	1.9099999999999998e-74	256.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_106_KL38_PROTEIN_24	60.504	238	83	2	1	227	1	238	3.5999999999999995e-74	258.0	845	tailspike depolymerase	1171	tailspike depolymerase with fiber-like elements	Different	0.28	0.2	0.2	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_107_KL64_PROTEIN_24	68.041	194	62	0	1	194	1	194	6.8899999999999994e-74	255.0	845	tailspike depolymerase	952	tailspike depolymerase	Same	0.23	0.2	0.2	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_110_KL6KL7_PROTEIN_23	69.072	194	60	0	1	194	1	194	8.23e-74	254.0	845	tailspike depolymerase	870	tailspike depolymerase	Same	0.23	0.22	0.22	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_014_KL2_PROTEIN_2	64.623	212	48	2	1	195	1	202	1.48e-73	254.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_118_KL14_PROTEIN_25	66.839	193	64	0	1	193	1	193	2.4e-71	248.0	845	tailspike depolymerase	941	tailspike depolymerase	Same	0.23	0.21	0.21	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_034_KL62_PROTEIN_30	60.092	218	79	2	1	218	1	210	3.66e-71	243.0	845	tailspike depolymerase	692	tailspike depolymerase	Same	0.26	0.32	0.26	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_113_KL46_PROTEIN_23	67.164	201	59	2	1	194	1	201	9.09e-71	246.0	845	tailspike depolymerase	927	tailspike depolymerase with fiber-like elements	Different	0.24	0.22	0.22	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_018_KL28_PROTEIN_7	61.611	211	76	1	1	206	1	211	1.53e-70	242.0	845	tailspike depolymerase	742	tailspike depolymerase	Same	0.25	0.28	0.25	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	REC_027_KL5_PROTEIN_35	62.963	189	70	0	1	189	1	189	1.64e-65	230.0	845	tailspike depolymerase	857	tailspike depolymerase	Same	0.22	0.22	0.22	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_116_KL31KL37_PROTEIN_25	66.486	185	49	2	1	173	1	184	3.3200000000000002e-65	229.0	845	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.22	0.21	0.21	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_108_KL11KL28KL33_PROTEIN_25	66.486	185	49	2	1	173	1	184	3.3200000000000002e-65	229.0	845	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.22	0.21	0.21	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_119_Kn_PROTEIN_25	54.0	250	86	6	1	232	1	239	1.86e-62	222.0	845	tailspike depolymerase	894	L-shaped tail fiber-like	Different	0.3	0.28	0.28	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_117_Kn_PROTEIN_25	62.312	199	58	4	1	188	1	193	3.5e-60	215.0	845	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.24	0.22	0.22	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_120_KL28KL69_PROTEIN_24	81.395	129	24	0	1	129	1	129	1.8e-59	214.0	845	tailspike depolymerase	973	L-shaped tail fiber-like	Different	0.15	0.13	0.13	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_115_Kn_PROTEIN_25	65.143	175	44	1	1	158	1	175	2.5200000000000002e-59	213.0	845	tailspike depolymerase	973	L-shaped tail fiber-like	Different	0.21	0.18	0.18	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_103_KL28KL69_PROTEIN_24	53.478	230	85	4	1	222	1	216	2.7100000000000002e-58	209.0	845	tailspike depolymerase	894	L-shaped tail fiber-like	Different	0.27	0.26	0.26	Nterminal sharing	
CONT_008_KL53_PROTEIN_3	LIT_123_KL43KL50KL69_PROTEIN_28	50.857	175	69	1	1	158	1	175	1.1e-45	172.0	845	tailspike depolymerase	1314	L-shaped tail fiber-like	Different	0.21	0.13	0.13	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_130_KL17_PROTEIN_23	68.557	194	61	0	1	194	1	194	5.4900000000000005e-77	260.0	845	tailspike depolymerase	729	tailspike depolymerase	Same	0.23	0.27	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_011_KL2_PROTEIN_22	68.78	205	51	2	1	195	1	202	9.19e-76	260.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.24	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_109_KL2_PROTEIN_23	65.566	212	46	2	1	195	1	202	1.08e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_006_KL13KL2_PROTEIN_63	65.566	212	46	2	1	195	1	202	1.2400000000000001e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_012_KL2_PROTEIN_32	65.566	212	46	2	1	195	1	202	1.3500000000000001e-75	259.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_114_KL54_PROTEIN_23	68.528	197	62	0	1	197	1	197	1.01e-74	254.0	845	tailspike depolymerase	729	tailspike depolymerase	Same	0.23	0.27	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_111_KL2_PROTEIN_23	65.094	212	47	2	1	195	1	202	1.9099999999999998e-74	256.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_106_KL38_PROTEIN_24	60.504	238	83	2	1	227	1	238	3.5999999999999995e-74	258.0	845	tailspike depolymerase	1171	tailspike depolymerase with fiber-like elements	Different	0.28	0.2	0.2	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_107_KL64_PROTEIN_24	68.041	194	62	0	1	194	1	194	6.8899999999999994e-74	255.0	845	tailspike depolymerase	952	tailspike depolymerase	Same	0.23	0.2	0.2	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_110_KL6KL7_PROTEIN_23	69.072	194	60	0	1	194	1	194	8.23e-74	254.0	845	tailspike depolymerase	870	tailspike depolymerase	Same	0.23	0.22	0.22	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_014_KL2_PROTEIN_2	64.623	212	48	2	1	195	1	202	1.48e-73	254.0	845	tailspike depolymerase	907	tailspike depolymerase	Same	0.25	0.23	0.23	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_118_KL14_PROTEIN_25	66.839	193	64	0	1	193	1	193	2.4e-71	248.0	845	tailspike depolymerase	941	tailspike depolymerase	Same	0.23	0.21	0.21	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_034_KL62_PROTEIN_30	60.092	218	79	2	1	218	1	210	3.66e-71	243.0	845	tailspike depolymerase	692	tailspike depolymerase	Same	0.26	0.32	0.26	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_113_KL46_PROTEIN_23	67.164	201	59	2	1	194	1	201	9.09e-71	246.0	845	tailspike depolymerase	927	tailspike depolymerase with fiber-like elements	Different	0.24	0.22	0.22	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_018_KL28_PROTEIN_7	61.611	211	76	1	1	206	1	211	1.53e-70	242.0	845	tailspike depolymerase	742	tailspike depolymerase	Same	0.25	0.28	0.25	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	REC_027_KL5_PROTEIN_35	62.963	189	70	0	1	189	1	189	1.64e-65	230.0	845	tailspike depolymerase	857	tailspike depolymerase	Same	0.22	0.22	0.22	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_116_KL31KL37_PROTEIN_25	66.486	185	49	2	1	173	1	184	3.3200000000000002e-65	229.0	845	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.22	0.21	0.21	Nterminal sharing	
CONT_009_KL53_PROTEIN_3	LIT_108_KL11KL28KL33_PROTEIN_25	66.486	185	49	2	1	173	1	184	3.3200000000000002e-65	229.0	845	tailspike depolymerase	892	L-shaped tail fiber-like	Different	0.22	0.21	0.21	Nterminal sharing	
