query	qLen	target	tLen	qCov	tCov	qstart	qend	tstart	tend	fid_orig	xid	hid	tid	fid	xname	hname	tname	fname	PHROGS1_function	PHROGS2_function	RBP-cluster	RBP-class	TF-class	evalue	bits	domain	Genome_name	Morphology
CONT_016_KL54_PROTEIN_35	558	2409667	158	0.15	0.51	24	105	79	158	3856.1.1.1	3856	3856.1	3856.1.1	3856.1.1.1	NO_X_NAME	NO_H_NAME	Putative tailspike protein Orf210 N-terminal domain	EUF07849	***  tail fiber protein	***  tail spike protein	RBP11	tailspike depolymerase		0.0004391	200	3856.1.1:Putative tailspike protein Orf210 N-terminal domain	CONT_016_KL54	Podovirus
CONT_017_KL58_PROTEIN_44	791	135790	333	0.42	0.89	338	669	10	305	5.1.4.44	5	5.1	5.1.4	5.1.4.44	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_6	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	3.275e-05	128	5.1.4:7-bladed	CONT_017_KL58	Podovirus
LIT_001_KL151_PROTEIN_14	660	427475	186	0.24	0.92	471	627	15	185	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	***  EPS depolymerase	RBP13	tailspike depolymerase		8.463e-06	233	10.1.2:Galactose-binding domain-like	LIT_001_KL151	Podovirus
LIT_001_KL151_PROTEIN_14	660	2491363	452	0.55	0.84	80	442	9	389	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail spike protein	***  EPS depolymerase	RBP13	tailspike depolymerase		0.0007179	97	207.2.1:Pectin lyase-like	LIT_001_KL151	Podovirus
LIT_002_KL1_PROTEIN_34	651	198885	374	0.73	0.95	80	554	19	373	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP14	tailspike depolymerase		3.55e-06	160	207.2.1:Pectin lyase-like	LIT_002_KL1	Podovirus
LIT_003_KL20_PROTEIN_9	827	355535	126	0.14	0.98	351	465	3	125	10.1.2.109	10	10.1	10.1.2	10.1.2.109	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_35	***  tail fiber protein	**   tail spike protein	RBP15	tailspike depolymerase		0.000368	171	10.1.2:Galactose-binding domain-like	LIT_003_KL20	Podovirus
LIT_004_KL16_PROTEIN_57	592	2701717	393	0.66	0.91	7	397	1	359	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail spike protein	***  EPS depolymerase	RBP16	tailspike depolymerase		1.515e-06	232	207.2.1:Pectin lyase-like	LIT_004_KL16	Podovirus
LIT_005_KL2KL13_PROTEIN_21	577	2409669	376	0.67	0.97	20	408	4	369	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		5.288e-13	507	207.2.1:Pectin lyase-like	LIT_005_KL2KL13	Podovirus
LIT_005_KL2KL13_PROTEIN_21	577	2409668	163	0.27	0.96	419	576	8	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		1.936e-07	325	10.1.2:Galactose-binding domain-like	LIT_005_KL2KL13	Podovirus
LIT_006_KL126_PROTEIN_49	756	2491363	452	0.98	0.99	4	746	4	451	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP19	tailspike depolymerase		0.0001667	80	207.2.1:Pectin lyase-like	LIT_006_KL126	Podovirus
LIT_007_KL61KL126_PROTEIN_40	756	2491363	452	0.98	0.99	4	747	4	451	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP19	tailspike depolymerase		4.166e-05	98	207.2.1:Pectin lyase-like	LIT_007_KL61KL126	Podovirus
LIT_007_KL61KL126_PROTEIN_49	798	2409668	163	0.19	0.93	647	798	12	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  colanic acid degradation	RBP20	tailspike depolymerase		8.113e-09	361	10.1.2:Galactose-binding domain-like	LIT_007_KL61KL126	Podovirus
LIT_007_KL61KL126_PROTEIN_49	798	184924	437	0.48	0.99	265	646	2	433	207.2.1.27	207	207.2	207.2.1	207.2.1.27	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3	***  tail fiber protein	***  colanic acid degradation	RBP20	tailspike depolymerase		0.0005952	114	207.2.1:Pectin lyase-like	LIT_007_KL61KL126	Podovirus
LIT_008_KL22KL37_PROTEIN_14	780	198885	374	0.44	0.98	283	627	2	367	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		2e-06	184	207.2.1:Pectin lyase-like	LIT_008_KL22KL37	Podovirus
LIT_010_KL22KL37_PROTEIN_49	780	198885	374	0.44	0.95	283	629	2	355	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		1.199e-05	162	207.2.1:Pectin lyase-like	LIT_010_KL22KL37	Podovirus
LIT_011_KL22KL37_PROTEIN_46	780	198885	374	0.44	0.95	283	629	2	355	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		5.54e-06	164	207.2.1:Pectin lyase-like	LIT_011_KL22KL37	Podovirus
LIT_012_KL22KL37_PROTEIN_10	317	1144443	458	0.88	0.77	29	307	2	353	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  tail fiber protein	RBP22	tailspike depolymerase		1.654e-05	168	207.2.1:Pectin lyase-like	LIT_012_KL22KL37	Podovirus
LIT_012_KL22KL37_PROTEIN_19	791	198885	374	0.44	0.96	294	642	2	359	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		4.615e-07	189	207.2.1:Pectin lyase-like	LIT_012_KL22KL37	Podovirus
LIT_013_KL22KL37_PROTEIN_9	780	198885	374	0.44	0.98	283	627	2	367	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		5.473e-07	181	207.2.1:Pectin lyase-like	LIT_013_KL22KL37	Podovirus
LIT_014_KL30_PROTEIN_16	791	2218	342	0.39	0.9	275	580	35	342	5.1.4.328	5	5.1	5.1.4	5.1.4.328	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_11	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	3.636e-06	129	5.1.4:7-bladed	LIT_014_KL30	Podovirus
LIT_014_KL30_PROTEIN_21	792	2491350	350	0.4	0.9	294	610	3	317	207.2.1.116	207	207.2	207.2.1	207.2.1.116	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  pre-neck appendage protein	RBP23	tailspike depolymerase with fiber-like elements		1.102e-07	264	207.2.1:Pectin lyase-like	LIT_014_KL30	Podovirus
LIT_014_KL30_PROTEIN_22	522	10060	282	0.46	0.79	39	278	2	225	2007.5.1.3	2007	2007.5	2007.5.1	2007.5.1.3	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	SASA	***  tail fiber protein	*    tail spike protein	RBP4	putative esterase containing tailspike		6.077e-10	282	2007.5.1:SGNH hydrolase	LIT_014_KL30	Podovirus
LIT_015_KL61_PROTEIN_39	797	2879001	313	0.38	0.78	286	584	8	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	0.0001429	129	5.1.4:7-bladed	LIT_015_KL61	Podovirus
LIT_015_KL61_PROTEIN_44	875	2409669	376	0.47	0.97	290	696	2	364	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		9.146e-09	293	207.2.1:Pectin lyase-like	LIT_015_KL61	Podovirus
LIT_015_KL61_PROTEIN_44	875	2409668	163	0.21	0.96	692	875	7	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		3.149e-07	239	10.1.2:Galactose-binding domain-like	LIT_015_KL61	Podovirus
LIT_015_KL61_PROTEIN_45	546	2409668	163	0.3	0.96	382	546	7	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	*    colanic acid degradation	RBP18	tailspike depolymerase		3.282e-06	258	10.1.2:Galactose-binding domain-like	LIT_015_KL61	Podovirus
LIT_015_KL61_PROTEIN_45	546	2409669	376	0.62	0.8	31	371	65	366	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail spike protein	*    colanic acid degradation	RBP18	tailspike depolymerase		9.206e-07	250	207.2.1:Pectin lyase-like	LIT_015_KL61	Podovirus
LIT_016_KL61_PROTEIN_36	791	2218	342	0.38	0.89	278	580	38	342	5.1.4.328	5	5.1	5.1.4	5.1.4.328	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_11	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	1.408e-05	126	5.1.4:7-bladed	LIT_016_KL61	Podovirus
LIT_016_KL61_PROTEIN_41	984	137131	444	0.47	0.93	285	745	8	418	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  tail spike protein	RBP25	tailspike depolymerase		4.61e-06	194	207.2.1:Pectin lyase-like	LIT_016_KL61	Podovirus
LIT_016_KL61_PROTEIN_42	547	2409668	163	0.3	0.96	383	547	7	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	*    colanic acid degradation	RBP18	tailspike depolymerase		7.507e-07	273	10.1.2:Galactose-binding domain-like	LIT_016_KL61	Podovirus
LIT_016_KL61_PROTEIN_42	547	2409669	376	0.62	0.8	32	372	65	366	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail spike protein	*    colanic acid degradation	RBP18	tailspike depolymerase		2.117e-05	206	207.2.1:Pectin lyase-like	LIT_016_KL61	Podovirus
LIT_017_KL140_PROTEIN_44	793	2409669	376	0.51	0.97	201	606	1	365	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		1.105e-13	472	207.2.1:Pectin lyase-like	LIT_017_KL140	Siphovirus
LIT_017_KL140_PROTEIN_44	793	1209559	157	0.23	0.99	607	791	2	157	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		0.0001873	123	10.1.2:Galactose-binding domain-like	LIT_017_KL140	Siphovirus
LIT_018_KL28_PROTEIN_7	742	2485645	88	0.13	0.97	166	265	4	88	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0002941	200	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_018_KL28	Siphovirus
LIT_018_KL28_PROTEIN_7	742	1546258	313	0.47	0.89	262	608	8	287	207.2.1.121	207	207.2	207.2.1	207.2.1.121	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0009052	73	207.2.1:Pectin lyase-like	LIT_018_KL28	Siphovirus
LIT_019_KL139_PROTEIN_32	822	2409669	376	0.54	0.98	158	602	1	370	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP24	tailspike depolymerase		1.166e-10	354	207.2.1:Pectin lyase-like	LIT_019_KL139	Myovirus
LIT_019_KL139_PROTEIN_32	822	2409668	163	0.21	0.82	644	814	29	161	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP24	tailspike depolymerase		5.937e-05	155	10.1.2:Galactose-binding domain-like	LIT_019_KL139	Myovirus
LIT_020_KL103KL55_PROTEIN_159	664	1144443	458	0.64	0.93	106	533	2	426	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  unknown function	RBP29	tailspike depolymerase		1.974e-06	205	207.2.1:Pectin lyase-like	LIT_020_KL103KL55	Myovirus
LIT_020_KL103KL55_PROTEIN_161	275	1679987	132	0.41	0.94	153	266	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		1.797e-08	282	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_020_KL103KL55	Myovirus
LIT_020_KL103KL55_PROTEIN_164	345	2559738	367	0.83	0.97	60	345	2	357	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	5.285e-09	220	79.1.1:Phage tail fiber protein trimerization domain	LIT_020_KL103KL55	Myovirus
LIT_021_KL22KL37_PROTEIN_82	348	2559738	367	0.82	0.96	60	346	2	355	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	5.352e-09	220	79.1.1:Phage tail fiber protein trimerization domain	LIT_021_KL22KL37	Myovirus
LIT_021_KL22KL37_PROTEIN_85	275	1679987	132	0.41	0.94	153	266	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		2.287e-08	277	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_021_KL22KL37	Myovirus
LIT_021_KL22KL37_PROTEIN_87	566	178870	240	0.26	0.68	417	561	44	205	2007.5.1.31	2007	2007.5	2007.5.1	2007.5.1.31	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	Lipase_GDSL_2	***  tail fiber protein	***  head decoration	RBP34	GDSL-like lipase containing tail fiber		8.435e-06	178	2007.5.1:SGNH hydrolase	LIT_021_KL22KL37	Myovirus
LIT_021_KL22KL37_PROTEIN_87	566	1156538	123	0.21	0.93	291	410	1	115	10.1.2.122	10	10.1	10.1.2	10.1.2.122	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	EUF07626	***  tail fiber protein	***  head decoration	RBP34	GDSL-like lipase containing tail fiber		1.966e-05	134	10.1.2:Galactose-binding domain-like	LIT_021_KL22KL37	Myovirus
LIT_021_KL22KL37_PROTEIN_89	573	198885	374	0.6	1.0	76	421	2	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  minor tail protein	RBP8	tailspike depolymerase		3.678e-06	212	207.2.1:Pectin lyase-like	LIT_021_KL22KL37	Myovirus
